"am_gene_ID","am_gene_symbol","dr_gene_ID","dr_gene_symbol"
"ENSAMXG00000005227","ENSAMXG00000005227","ENSDARG00000104635","mhc2dgb"
"ENSAMXG00000005229","lyrm9","ENSDARG00000075528","lyrm9"
"ENSAMXG00000005230","zgc:172295","ENSDARG00000053456","GK3"
"ENSAMXG00000005239","guk1b","ENSDARG00000005776","guk1b"
"ENSAMXG00000005241","ATP2C1","ENSDARG00000060197","ATP2C1"
"ENSAMXG00000005242","zmynd11","ENSDARG00000057249","zmynd11"
"ENSAMXG00000005250","ENSAMXG00000005250","ENSDARG00000029859","ENSDARG00000029859"
"ENSAMXG00000005253","hook1","ENSDARG00000042946","hook1"
"ENSAMXG00000005254","GRAMD4","ENSDARG00000069171","GRAMD4"
"ENSAMXG00000005255","gosr2","ENSDARG00000053070","gosr2"
"ENSAMXG00000005256","ENSAMXG00000005256","ENSDARG00000069066","ENSDARG00000069066"
"ENSAMXG00000005258","hoxa1a","ENSDARG00000104307","hoxa1a"
"ENSAMXG00000005259","slc7a4","ENSDARG00000068286","slc7a4"
"ENSAMXG00000005260","eif3s10","ENSDARG00000076815","eif3s10"
"ENSAMXG00000005262","ENSAMXG00000005262","ENSDARG00000074889","ENSDARG00000074889"
"ENSAMXG00000005265","suclg1","ENSDARG00000052712","suclg1"
"ENSAMXG00000005267","CELSR1","ENSDARG00000069185","CELSR1"
"ENSAMXG00000005269","DIP2C","ENSDARG00000062154","DIP2C"
"ENSAMXG00000005270","ca7","ENSDARG00000045139","ca7"
"ENSAMXG00000005279","coa5","ENSDARG00000094833","coa5"
"ENSAMXG00000005282","trmu","ENSDARG00000043734","trmu"
"ENSAMXG00000005284","PALMD","ENSDARG00000001913","PALMD"
"ENSAMXG00000005287","sord","ENSDARG00000053405","sord"
"ENSAMXG00000005289","si:dkey-42i9.4","ENSDARG00000008049","si:dkey-42i9.4"
"ENSAMXG00000005290","MGAT4A","ENSDARG00000063330","MGAT4A"
"ENSAMXG00000005291","ENSAMXG00000005291","ENSDARG00000104200","ENSDARG00000104200"
"ENSAMXG00000005292","ssbp3b","ENSDARG00000030155","ssbp3b"
"ENSAMXG00000005293","ENSAMXG00000005293","ENSDARG00000103459","ENSDARG00000103459"
"ENSAMXG00000005298","SRCIN1","ENSDARG00000059773","SRCIN1"
"ENSAMXG00000005302","atrip","ENSDARG00000063076","atrip"
"ENSAMXG00000005306","cbln4","ENSDARG00000061240","cbln4"
"ENSAMXG00000005307","cutc","ENSDARG00000077306","cutc"
"ENSAMXG00000005309","FRRS1","ENSDARG00000076183","FRRS1"
"ENSAMXG00000005318","mphosph10","ENSDARG00000012495","mphosph10"
"ENSAMXG00000005322","ENSAMXG00000005322","ENSDARG00000021172","cyp2ad2"
"ENSAMXG00000005322","ENSAMXG00000005322","ENSDARG00000022650","cyp2ad3"
"ENSAMXG00000005325","FMNL1","ENSDARG00000055713","FMNL1"
"ENSAMXG00000005326","mitd1","ENSDARG00000044766","mitd1"
"ENSAMXG00000005331","rtbdn","ENSDARG00000103413","rtbdn"
"ENSAMXG00000005332","anapc10","ENSDARG00000090152","anapc10"
"ENSAMXG00000005335","mlx","ENSDARG00000037891","mlx"
"ENSAMXG00000005337","slc25a32b","ENSDARG00000026835","slc25a32b"
"ENSAMXG00000005341","mrpl30","ENSDARG00000069850","mrpl30"
"ENSAMXG00000005342","naa15b","ENSDARG00000030368","naa15b"
"ENSAMXG00000005345","tsga10","ENSDARG00000052512","tsga10"
"ENSAMXG00000005348","nuf2","ENSDARG00000034624","nuf2"
"ENSAMXG00000005349","cthrc1a","ENSDARG00000087198","cthrc1a"
"ENSAMXG00000005351","txndc9","ENSDARG00000069853","txndc9"
"ENSAMXG00000005356","slkb","ENSDARG00000012574","slkb"
"ENSAMXG00000005361","sbds","ENSDARG00000027803","sbds"
"ENSAMXG00000005363","rb1","ENSDARG00000006782","rb1"
"ENSAMXG00000005364","ENSAMXG00000005364","ENSDARG00000059804","ENSDARG00000059804"
"ENSAMXG00000005365","rev1","ENSDARG00000018296","rev1"
"ENSAMXG00000005367","clgn","ENSDARG00000009315","clgn"
"ENSAMXG00000005381","gins4","ENSDARG00000016044","gins4"
"ENSAMXG00000005382","sf3a1","ENSDARG00000041887","sf3a1"
"ENSAMXG00000005386","OLFML2B","ENSDARG00000021480","OLFML2B"
"ENSAMXG00000005387","ENSAMXG00000005387","ENSDARG00000079552","ENSDARG00000079552"
"ENSAMXG00000005388","slc10a7","ENSDARG00000104508","slc10a7"
"ENSAMXG00000005390","pold2","ENSDARG00000095046","pold2"
"ENSAMXG00000005394","ENSAMXG00000005394","ENSDARG00000086703","ENSDARG00000086703"
"ENSAMXG00000005395","ENSAMXG00000005395","ENSDARG00000022631","cyp2p9"
"ENSAMXG00000005400","ENSAMXG00000005400","ENSDARG00000090501","ENSDARG00000090501"
"ENSAMXG00000005400","ENSAMXG00000005400","ENSDARG00000101453","ENSDARG00000101453"
"ENSAMXG00000005403","ENSAMXG00000005403","ENSDARG00000006901","ENSDARG00000006901"
"ENSAMXG00000005405","arhgef7a","ENSDARG00000006299","arhgef7a"
"ENSAMXG00000005406","cry1a","ENSDARG00000045768","cry1a"
"ENSAMXG00000005407","nemp1","ENSDARG00000073899","nemp1"
"ENSAMXG00000005411","prg4a","ENSDARG00000010482","prg4a"
"ENSAMXG00000005417","ENSAMXG00000005417","ENSDARG00000113309","ENSDARG00000113309"
"ENSAMXG00000005418","PAN2","ENSDARG00000074675","PAN2"
"ENSAMXG00000005419","paics","ENSDARG00000033539","paics"
"ENSAMXG00000005420","tcf7l1b","ENSDARG00000038159","tcf7l1a"
"ENSAMXG00000005423","isy1","ENSDARG00000063466","isy1"
"ENSAMXG00000005424","ENSAMXG00000005424","ENSDARG00000073918","ENSDARG00000073918"
"ENSAMXG00000005425","ELMOD3","ENSDARG00000074742","ELMOD3"
"ENSAMXG00000005430","star","ENSDARG00000006137","star"
"ENSAMXG00000005432","stambpb","ENSDARG00000086906","stambpb"
"ENSAMXG00000005433","ENSAMXG00000005433","ENSDARG00000070922","cnbpb"
"ENSAMXG00000005436","ENSAMXG00000005436","ENSDARG00000078815","ENSDARG00000078815"
"ENSAMXG00000005437","FKBP15","ENSDARG00000099294","ENSDARG00000099294"
"ENSAMXG00000005439","ENSAMXG00000005439","ENSDARG00000079575","ENSDARG00000079575"
"ENSAMXG00000005441","lsm1","ENSDARG00000043177","lsm1"
"ENSAMXG00000005442","ppat","ENSDARG00000004517","ppat"
"ENSAMXG00000005443","VIRMA","ENSDARG00000075824","VIRMA"
"ENSAMXG00000005445","ABCD2","ENSDARG00000059409","ABCD2"
"ENSAMXG00000005447","ccn1l2","ENSDARG00000099985","ccn1l2"
"ENSAMXG00000005451","CALHM1","ENSDARG00000077021","CALHM1"
"ENSAMXG00000005452","SLC2A13","ENSDARG00000087867","SLC2A13"
"ENSAMXG00000005454","bag4","ENSDARG00000043179","bag4"
"ENSAMXG00000005456","tpx2","ENSDARG00000078654","tpx2"
"ENSAMXG00000005458","pdcd11","ENSDARG00000052480","pdcd11"
"ENSAMXG00000005461","faah2a","ENSDARG00000054786","faah2b"
"ENSAMXG00000005463","ENSAMXG00000005463","ENSDARG00000101084","ENSDARG00000101084"
"ENSAMXG00000005466","esrp1","ENSDARG00000011245","esrp1"
"ENSAMXG00000005469","ZMYM2","ENSDARG00000027353","ZMYM2"
"ENSAMXG00000005471","odr4","ENSDARG00000042671","odr4"
"ENSAMXG00000005474","EPB41L4B","ENSDARG00000061398","EPB41L4B"
"ENSAMXG00000005477","ADGRD2","ENSDARG00000103067","ADGRD2"
"ENSAMXG00000005483","PTPN3","ENSDARG00000055784","PTPN3"
"ENSAMXG00000005489","plppr2a","ENSDARG00000101478","plppr2a"
"ENSAMXG00000005490","cracd","ENSDARG00000011602","cracd"
"ENSAMXG00000005495","ptgs2a","ENSDARG00000004539","ptgs2a"
"ENSAMXG00000005498","cryl1","ENSDARG00000003675","cryl1"
"ENSAMXG00000005502","cep135","ENSDARG00000002991","cep135"
"ENSAMXG00000005503","crybb2","ENSDARG00000053512","crybb2"
"ENSAMXG00000005504","ift88","ENSDARG00000027234","ift88"
"ENSAMXG00000005507","slco1f3","ENSDARG00000101014","slco1f4"
"ENSAMXG00000005512","herc3","ENSDARG00000075887","herc3"
"ENSAMXG00000005523","ENSAMXG00000005523","ENSDARG00000069958","ENSDARG00000069958"
"ENSAMXG00000005524","fam221a","ENSDARG00000027599","fam221a"
"ENSAMXG00000005525","fubp1","ENSDARG00000029248","fubp1"
"ENSAMXG00000005528","ENSAMXG00000005528","ENSDARG00000074346","ENSDARG00000074346"
"ENSAMXG00000005529","NKD2","ENSDARG00000055271","nkd2b"
"ENSAMXG00000005535","mkrn2","ENSDARG00000007630","mkrn2"
"ENSAMXG00000005540","ODAD2","ENSDARG00000055128","ODAD2"
"ENSAMXG00000005542","exoc1","ENSDARG00000043019","exoc1"
"ENSAMXG00000005543","xpo4","ENSDARG00000010281","xpo4"
"ENSAMXG00000005545","dgkaa","ENSDARG00000060626","dgkaa"
"ENSAMXG00000005547","FAM13A","ENSDARG00000075564","FAM13A"
"ENSAMXG00000005552","ENSAMXG00000005552","ENSDARG00000086950","ENSDARG00000086950"
"ENSAMXG00000005553","tra2a","ENSDARG00000007863","tra2a"
"ENSAMXG00000005554","ENSAMXG00000005554","ENSDARG00000034555","ENSDARG00000034555"
"ENSAMXG00000005561","zgc:154142","ENSDARG00000100792","zgc:154142"
"ENSAMXG00000005564","ENSAMXG00000005564","ENSDARG00000098716","PARP11"
"ENSAMXG00000005565","clocka","ENSDARG00000011703","clocka"
"ENSAMXG00000005573","otpa","ENSDARG00000014201","otpa"
"ENSAMXG00000005577","elmod2","ENSDARG00000101669","elmod2"
"ENSAMXG00000005578","ivns1abpb","ENSDARG00000013946","ivns1abpb"
"ENSAMXG00000005579","CXXC5","ENSDARG00000078865","CXXC5"
"ENSAMXG00000005582","drosha","ENSDARG00000055563","drosha"
"ENSAMXG00000005586","cd276","ENSDARG00000003061","cd276"
"ENSAMXG00000005587","rnf41","ENSDARG00000036831","rnf41"
"ENSAMXG00000005588","lats2","ENSDARG00000078864","lats2"
"ENSAMXG00000005590","ucp1","ENSDARG00000023151","ucp1"
"ENSAMXG00000005593","fn1a","ENSDARG00000019815","fn1a"
"ENSAMXG00000005594","rnf2","ENSDARG00000010381","rnf2"
"ENSAMXG00000005599","dync1li1","ENSDARG00000098317","dync1li1"
"ENSAMXG00000005605","prkab1b","ENSDARG00000046143","prkab1b"
"ENSAMXG00000005608","acsl4a","ENSDARG00000004078","acsl4a"
"ENSAMXG00000005612","carmil3","ENSDARG00000086990","carmil3"
"ENSAMXG00000005617","vax2","ENSDARG00000058702","vax2"
"ENSAMXG00000005619","MBLAC1","ENSDARG00000077314","MBLAC1"
"ENSAMXG00000005620","ENSAMXG00000005620","ENSDARG00000059900","TBC1D9"
"ENSAMXG00000005624","ENSAMXG00000005624","ENSDARG00000041205","ENSDARG00000041205"
"ENSAMXG00000005644","hps4","ENSDARG00000013795","hps4"
"ENSAMXG00000005645","ENSAMXG00000005645","ENSDARG00000105626","ENSDARG00000105626"
"ENSAMXG00000005646","slc20a1a","ENSDARG00000020114","slc20a1a"
"ENSAMXG00000005649","ENSAMXG00000005649","ENSDARG00000077382","ENSDARG00000077382"
"ENSAMXG00000005650","xiap","ENSDARG00000016143","xiap"
"ENSAMXG00000005652","CHD9","ENSDARG00000074498","CHD9"
"ENSAMXG00000005653","STAG2","ENSDARG00000053668","STAG2"
"ENSAMXG00000005658","popdc2","ENSDARG00000069922","popdc2"
"ENSAMXG00000005659","rnf150a","ENSDARG00000024827","rnf150a"
"ENSAMXG00000005660","GPR151","ENSDARG00000104291","GPR151"
"ENSAMXG00000005661","hnf1a","ENSDARG00000009470","hnf1a"
"ENSAMXG00000005665","mnx2a","ENSDARG00000042106","mnx2a"
"ENSAMXG00000005670","pla1a","ENSDARG00000102176","pla1a"
"ENSAMXG00000005673","tmco6","ENSDARG00000016336","tmco6"
"ENSAMXG00000005679","tuba1c","ENSDARG00000055216","tuba1c"
"ENSAMXG00000005681","ache","ENSDARG00000031796","ache"
"ENSAMXG00000005684","snrnp200","ENSDARG00000077536","snrnp200"
"ENSAMXG00000005686","aktip","ENSDARG00000026862","aktip"
"ENSAMXG00000005695","zw10","ENSDARG00000018738","zw10"
"ENSAMXG00000005696","ENSAMXG00000005696","ENSDARG00000055999","BRD8"
"ENSAMXG00000005698","ENSAMXG00000005698","ENSDARG00000090997","ENSDARG00000090997"
"ENSAMXG00000005699","ENSAMXG00000005699","ENSDARG00000017504","ENSDARG00000017504"
"ENSAMXG00000005700","st8sia1","ENSDARG00000098221","st8sia1"
"ENSAMXG00000005704","ptprna","ENSDARG00000058646","ptprna"
"ENSAMXG00000005705","mknk2a","ENSDARG00000011373","mknk2a"
"ENSAMXG00000005707","si:ch211-244b2.4","ENSDARG00000045530","si:ch211-244b2.4"
"ENSAMXG00000005708","rem2","ENSDARG00000074064","rem2"
"ENSAMXG00000005709","smarca5","ENSDARG00000052348","smarca5"
"ENSAMXG00000005710","stx5a","ENSDARG00000025033","stx5a"
"ENSAMXG00000005712","MKRN2OS","ENSDARG00000100728","MKRN2OS"
"ENSAMXG00000005717","zgc:162144","ENSDARG00000037603","zgc:162144"
"ENSAMXG00000005718","ENSAMXG00000005718","ENSDARG00000069244","si:ch211-244b2.3"
"ENSAMXG00000005720","ggt5a","ENSDARG00000052045","ggt5a"
"ENSAMXG00000005722","hbegfb","ENSDARG00000031246","hbegfb"
"ENSAMXG00000005723","ENSAMXG00000005723","ENSDARG00000090986","ENSDARG00000090986"
"ENSAMXG00000005726","scyl2","ENSDARG00000032627","scyl2"
"ENSAMXG00000005727","desma","ENSDARG00000058656","desma"
"ENSAMXG00000005731","ENSAMXG00000005731","ENSDARG00000089908","DEPDC4"
"ENSAMXG00000005733","KCNK4","ENSDARG00000103286","ENSDARG00000103286"
"ENSAMXG00000005734","slc23a1","ENSDARG00000015033","slc23a1"
"ENSAMXG00000005735","usp44","ENSDARG00000089861","usp44"
"ENSAMXG00000005738","metap2a","ENSDARG00000069261","metap2a"
"ENSAMXG00000005739","ENSAMXG00000005739","ENSDARG00000086705","ENSDARG00000086705"
"ENSAMXG00000005746","ggt1a","ENSDARG00000023526","ggt1a"
"ENSAMXG00000005750","vezt","ENSDARG00000075215","vezt"
"ENSAMXG00000005752","nxf1a","ENSDARG00000086017","nxf1a"
"ENSAMXG00000005755","wdr3","ENSDARG00000011079","wdr3"
"ENSAMXG00000005756","ENSAMXG00000005756","ENSDARG00000074308","ENSDARG00000074308"
"ENSAMXG00000005757","znf414","ENSDARG00000079229","znf414"
"ENSAMXG00000005760","ENSAMXG00000005760","ENSDARG00000053488","ENSDARG00000053488"
"ENSAMXG00000005762","cactin","ENSDARG00000059866","cactin"
"ENSAMXG00000005764","fgd6","ENSDARG00000045528","fgd6"
"ENSAMXG00000005765","mllt1b","ENSDARG00000031709","mllt1b"
"ENSAMXG00000005769","nr2c1","ENSDARG00000045527","nr2c1"
"ENSAMXG00000005772","havcr1","ENSDARG00000040178","havcr1"
"ENSAMXG00000005773","USP38","ENSDARG00000075798","USP38"
"ENSAMXG00000005775","ENSAMXG00000005775","ENSDARG00000088891","ENSDARG00000088891"
"ENSAMXG00000005776","tmcc3","ENSDARG00000045525","tmcc3"
"ENSAMXG00000005777","ENSAMXG00000005777","ENSDARG00000041515","ENSDARG00000041515"
"ENSAMXG00000005786","loxl3a","ENSDARG00000076306","loxl3a"
"ENSAMXG00000005791","gab1","ENSDARG00000037018","gab1"
"ENSAMXG00000005792","ENSAMXG00000005792","ENSDARG00000045524","lamb1b"
"ENSAMXG00000005794","RCE1","ENSDARG00000077909","RCE1"
"ENSAMXG00000005799","tex261","ENSDARG00000044584","tex261"
"ENSAMXG00000005800","sap130b","ENSDARG00000079352","sap130b"
"ENSAMXG00000005802","anapc5","ENSDARG00000008461","anapc5"
"ENSAMXG00000005804","katnbl1","ENSDARG00000042522","katnbl1"
"ENSAMXG00000005805","mettl5","ENSDARG00000068893","mettl5"
"ENSAMXG00000005808","dhdh.1","ENSDARG00000028336","dhdh.1"
"ENSAMXG00000005809","kazald2","ENSDARG00000078518","kazald2"
"ENSAMXG00000005814","chmp5b","ENSDARG00000103718","chmp5b"
"ENSAMXG00000005815","tlx2","ENSDARG00000011273","tlx2"
"ENSAMXG00000005818","copb2","ENSDARG00000038743","copb2"
"ENSAMXG00000005819","ENSAMXG00000005819","ENSDARG00000098445","ENSDARG00000098445"
"ENSAMXG00000005820","KLHL23","ENSDARG00000078475","KLHL23"
"ENSAMXG00000005822","frem3","ENSDARG00000074677","frem3"
"ENSAMXG00000005823","phgdh","ENSDARG00000001873","phgdh"
"ENSAMXG00000005825","fgf24","ENSDARG00000037677","fgf24"
"ENSAMXG00000005828","hsd11b2","ENSDARG00000001975","hsd11b2"
"ENSAMXG00000005829","ENSAMXG00000005829","ENSDARG00000077928","ENSDARG00000077928"
"ENSAMXG00000005831","acot15","ENSDARG00000033413","acot18"
"ENSAMXG00000005832","pcgf1","ENSDARG00000001249","pcgf1"
"ENSAMXG00000005838","kdm2ba","ENSDARG00000036593","kdm2ba"
"ENSAMXG00000005839","foxi3a","ENSDARG00000055926","foxi3a"
"ENSAMXG00000005840","HTR3A","ENSDARG00000089212","HTR3A"
"ENSAMXG00000005842","fastkd1","ENSDARG00000056128","fastkd1"
"ENSAMXG00000005845","nhp2","ENSDARG00000069422","nhp2"
"ENSAMXG00000005849","ap1ar","ENSDARG00000031496","ap1ar"
"ENSAMXG00000005850","klhl41a","ENSDARG00000068888","klhl41a"
"ENSAMXG00000005851","ENSAMXG00000005851","ENSDARG00000077201","ENSDARG00000077201"
"ENSAMXG00000005852","ENSAMXG00000005852","ENSDARG00000075932","ENSDARG00000075932"
"ENSAMXG00000005853","rbm17","ENSDARG00000031346","rbm17"
"ENSAMXG00000005854","grpel2","ENSDARG00000069421","grpel2"
"ENSAMXG00000005855","gabra4","ENSDARG00000013389","gabra4"
"ENSAMXG00000005856","ENSAMXG00000005856","ENSDARG00000093844","ctrb.2"
"ENSAMXG00000005859","f13a1b","ENSDARG00000036893","f13a1b"
"ENSAMXG00000005860","afap1l1b","ENSDARG00000056453","afap1l1b"
"ENSAMXG00000005862","bbs5","ENSDARG00000039827","bbs5"
"ENSAMXG00000005863","gadd45ga","ENSDARG00000019417","gadd45ga"
"ENSAMXG00000005864","gabra1","ENSDARG00000068989","gabra1"
"ENSAMXG00000005865","si:dkey-72l14.3","ENSDARG00000061044","si:dkey-72l14.3"
"ENSAMXG00000005866","abce1","ENSDARG00000007216","abce1"
"ENSAMXG00000005868","hmbsb","ENSDARG00000055991","hmbsb"
"ENSAMXG00000005871","GUF1","ENSDARG00000029088","GUF1"
"ENSAMXG00000005872","pfkfb3","ENSDARG00000001953","pfkfb3"
"ENSAMXG00000005876","ENSAMXG00000005876","ENSDARG00000079165","galr1b"
"ENSAMXG00000005878","ddx28","ENSDARG00000060411","ddx28"
"ENSAMXG00000005881","NFATC3","ENSDARG00000076297","NFATC3"
"ENSAMXG00000005882","znf131","ENSDARG00000068400","znf131"
"ENSAMXG00000005885","ENSAMXG00000005885","ENSDARG00000053124","si:dkey-148a17.6"
"ENSAMXG00000005889","prkcq","ENSDARG00000034173","prkcq"
"ENSAMXG00000005890","ENSAMXG00000005890","ENSDARG00000093549","selenop"
"ENSAMXG00000005891","col28a2a","ENSDARG00000076321","col28a2a"
"ENSAMXG00000005893","ENSAMXG00000005893","ENSDARG00000079560","ENSDARG00000079560"
"ENSAMXG00000005894","ENSAMXG00000005894","ENSDARG00000045519","SFMBT2"
"ENSAMXG00000005895","esrp2","ENSDARG00000018814","esrp2"
"ENSAMXG00000005898","slc7a3a","ENSDARG00000020645","slc7a3a"
"ENSAMXG00000005899","ITIH5","ENSDARG00000045517","ITIH5"
"ENSAMXG00000005901","FBXO4","ENSDARG00000074170","FBXO4"
"ENSAMXG00000005903","rimoc1","ENSDARG00000054777","rimoc1"
"ENSAMXG00000005905","itih2","ENSDARG00000045516","itih2"
"ENSAMXG00000005911","rab6bb","ENSDARG00000031343","rab6bb"
"ENSAMXG00000005912","snx25","ENSDARG00000099545","snx25"
"ENSAMXG00000005914","ESPNL","ENSDARG00000093112","ESPNL"
"ENSAMXG00000005916","atp5f1c","ENSDARG00000045514","atp5f1c"
"ENSAMXG00000005917","ENSAMXG00000005917","ENSDARG00000075964","ENSDARG00000075964"
"ENSAMXG00000005919","ENSAMXG00000005919","ENSDARG00000105039","ENSDARG00000105039"
"ENSAMXG00000005920","CLCN5","ENSDARG00000019693","CLCN5"
"ENSAMXG00000005921","taf3","ENSDARG00000045513","taf3"
"ENSAMXG00000005923","tnfsf10l3","ENSDARG00000032746","tnfsf10l3"
"ENSAMXG00000005928","oxct1a","ENSDARG00000013063","oxct1a"
"ENSAMXG00000005930","trpc2b","ENSDARG00000003344","trpc2b"
"ENSAMXG00000005931","lrp2a","ENSDARG00000102506","lrp2a"
"ENSAMXG00000005933","celf2","ENSDARG00000002131","celf2"
"ENSAMXG00000005935","ENSAMXG00000005935","ENSDARG00000079401","ENSDARG00000079401"
"ENSAMXG00000005937","lrp2bp","ENSDARG00000040478","lrp2bp"
"ENSAMXG00000005939","THBS1","ENSDARG00000010785","THBS1"
"ENSAMXG00000005941","slc9a5","ENSDARG00000078560","slc9a5"
"ENSAMXG00000005945","bloc1s5","ENSDARG00000111747","bloc1s5"
"ENSAMXG00000005948","rrm1","ENSDARG00000014017","rrm1"
"ENSAMXG00000005949","fnta","ENSDARG00000099143","fnta"
"ENSAMXG00000005950","KIF1A","ENSDARG00000062024","KIF1A"
"ENSAMXG00000005951","slc6a7","ENSDARG00000030006","slc6a7"
"ENSAMXG00000005952","FHOD1","ENSDARG00000051768","FHOD1"
"ENSAMXG00000005954","stim1b","ENSDARG00000061560","stim1b"
"ENSAMXG00000005956","PIGG","ENSDARG00000038270","PIGG"
"ENSAMXG00000005960","cpm","ENSDARG00000011769","cpm"
"ENSAMXG00000005961","ENSAMXG00000005961","ENSDARG00000104791","ENSDARG00000104791"
"ENSAMXG00000005962","hmmr","ENSDARG00000021794","hmmr"
"ENSAMXG00000005963","pgap2","ENSDARG00000044596","pgap2"
"ENSAMXG00000005964","ENSAMXG00000005964","ENSDARG00000042172","ENSDARG00000042172"
"ENSAMXG00000005967","ano5b","ENSDARG00000036147","ano5b"
"ENSAMXG00000005968","ncbp3","ENSDARG00000044597","ncbp3"
"ENSAMXG00000005969","cntn5","ENSDARG00000021584","cntn5"
"ENSAMXG00000005970","SBF2","ENSDARG00000059460","SBF2"
"ENSAMXG00000005975","TENM2","ENSDARG00000037122","TENM2"
"ENSAMXG00000005976","uvssa","ENSDARG00000100916","uvssa"
"ENSAMXG00000005978","slc17a6b","ENSDARG00000041150","slc17a6b"
"ENSAMXG00000005979","timeless","ENSDARG00000078497","timeless"
"ENSAMXG00000005980","ENSAMXG00000005980","ENSDARG00000011573","ENSDARG00000011573"
"ENSAMXG00000005981","ENSAMXG00000005981","ENSDARG00000071567","TSTD1"
"ENSAMXG00000005982","rap1gap2b","ENSDARG00000074222","rap1gap2b"
"ENSAMXG00000005984","ENSAMXG00000005984","ENSDARG00000057353","ENSDARG00000057353"
"ENSAMXG00000005986","st6gal1","ENSDARG00000044514","st6gal1"
"ENSAMXG00000005988","neurl1b","ENSDARG00000099694","neurl1b"
"ENSAMXG00000005989","RNF180","ENSDARG00000073720","RNF180"
"ENSAMXG00000005992","ENSAMXG00000005992","ENSDARG00000093745","htr1aa"
"ENSAMXG00000005993","ipo11","ENSDARG00000054224","ipo11"
"ENSAMXG00000005995","zgc:152891","ENSDARG00000016789","zgc:152891"
"ENSAMXG00000005996","pdlim3b","ENSDARG00000014248","pdlim3b"
"ENSAMXG00000005998","GAS2","ENSDARG00000036152","GAS2"
"ENSAMXG00000006001","ppfia2","ENSDARG00000013000","ppfia2"
"ENSAMXG00000006003","SORBS2","ENSDARG00000061603","SORBS2"
"ENSAMXG00000006004","tpst1l","ENSDARG00000044513","tpst1l"
"ENSAMXG00000006007","lipg","ENSDARG00000031044","lipg"
"ENSAMXG00000006009","asl","ENSDARG00000033361","asl"
"ENSAMXG00000006011","si:ch73-314g15.3","ENSDARG00000000423","si:ch73-314g15.3"
"ENSAMXG00000006013","clstn2a","ENSDARG00000060637","clstn2a"
"ENSAMXG00000006015","EEF1E1","ENSDARG00000071774","EEF1E1"
"ENSAMXG00000006018","ENSAMXG00000006018","ENSDARG00000010977","ENSDARG00000010977"
"ENSAMXG00000006019","FAM149A","ENSDARG00000073709","FAM149A"
"ENSAMXG00000006020","arl14ep","ENSDARG00000001210","arl14ep"
"ENSAMXG00000006022","heg1","ENSDARG00000018441","heg1"
"ENSAMXG00000006024","cyp4v2b","ENSDARG00000061585","cyp4v2b"
"ENSAMXG00000006025","supt6h","ENSDARG00000006524","supt6h"
"ENSAMXG00000006026","KCNA4","ENSDARG00000078650","KCNA4"
"ENSAMXG00000006031","MMP19","ENSDARG00000091557","MMP19"
"ENSAMXG00000006033","slc12a8","ENSDARG00000074384","slc12a8"
"ENSAMXG00000006034","lgr4","ENSDARG00000060542","lgr4"
"ENSAMXG00000006037","mak","ENSDARG00000059287","mak"
"ENSAMXG00000006040","sdf2","ENSDARG00000024026","sdf2"
"ENSAMXG00000006042","ENSAMXG00000006042","ENSDARG00000057331","ENSDARG00000057331"
"ENSAMXG00000006044","ENSAMXG00000006044","ENSDARG00000069766","ENSDARG00000069766"
"ENSAMXG00000006045","hcls1","ENSDARG00000012729","hcls1"
"ENSAMXG00000006049","snx4","ENSDARG00000022659","snx4"
"ENSAMXG00000006051","ENSAMXG00000006051","ENSDARG00000055136","ENSDARG00000055136"
"ENSAMXG00000006053","abhd11","ENSDARG00000069501","abhd11"
"ENSAMXG00000006054","agxtb","ENSDARG00000018478","agxtb"
"ENSAMXG00000006055","taf6l","ENSDARG00000079684","taf6l"
"ENSAMXG00000006056","ENSAMXG00000006056","ENSDARG00000069497","sumf2"
"ENSAMXG00000006057","kif18a","ENSDARG00000008022","kif18a"
"ENSAMXG00000006058","OSBPL11","ENSDARG00000076328","OSBPL11"
"ENSAMXG00000006059","phkg1b","ENSDARG00000069498","phkg1b"
"ENSAMXG00000006063","ENSAMXG00000006063","ENSDARG00000061951","ENSDARG00000061951"
"ENSAMXG00000006067","TMEM151A","ENSDARG00000079908","ENSDARG00000079908"
"ENSAMXG00000006072","lin7c","ENSDARG00000027322","lin7c"
"ENSAMXG00000006073","gcm2","ENSDARG00000045413","gcm2"
"ENSAMXG00000006074","mybpc3","ENSDARG00000011615","mybpc3"
"ENSAMXG00000006078","thap4","ENSDARG00000077323","thap4"
"ENSAMXG00000006079","cars1","ENSDARG00000036164","cars1"
"ENSAMXG00000006082","guca1a","ENSDARG00000010454","guca1a"
"ENSAMXG00000006083","ANO9","ENSDARG00000079324","ENSDARG00000079324"
"ENSAMXG00000006084","lss","ENSDARG00000061274","lss"
"ENSAMXG00000006089","PKP3","ENSDARG00000079438","PKP3"
"ENSAMXG00000006092","ppme1","ENSDARG00000009771","ppme1"
"ENSAMXG00000006093","ENSAMXG00000006093","ENSDARG00000055374","ENSDARG00000055374"
"ENSAMXG00000006094","kcnc1a","ENSDARG00000051852","kcnc1a"
"ENSAMXG00000006095","pmela","ENSDARG00000091298","pmela"
"ENSAMXG00000006096","st14b","ENSDARG00000062758","ENSDARG00000062758"
"ENSAMXG00000006098","mns1","ENSDARG00000060169","mns1"
"ENSAMXG00000006100","MCM3AP","ENSDARG00000021402","ENSDARG00000021402"
"ENSAMXG00000006103","mtmr3","ENSDARG00000098201","mtmr3"
